Sentence|True intent|Pred intent|True slots|Pred slots
anh ơi thiết bị là đầy đủ rgb 4|smart.home.decrease.percentage|smart.home.check.status|O O O O O O O B-devicedevice I-devicedevice|O O O O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice
làm ơn hạ xuống đỡ đèn treo tường thứ 4 1 phần trăm giúp tôi|smart.home.decrease.percentage|smart.home.set.percentage|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
tôi muốn giảm độ sáng của đèn ngủ 2|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O O B-devicedevice I-devicedevice I-devicedevice
tôi muốn giảm độ sáng của bóng hoa 2|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O O B-devicedevice I-devicedevice I-devicedevice
chào bạn kiểm soát được điện ở vườn sau 2 trong nhà không|smart.home.decrease.percentage|smart.home.check.status|O O O O O B-devicedevice O B-roomroom I-roomroom I-roomroom O O O|O O O O O B-devicedevice O B-roomroom I-roomroom I-roomroom O B-roomroom O
tôi muốn giảm độ sáng của kịch bản 3|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O O B-devicedevice I-devicedevice I-devicedevice
chào bạn kiểm soát được bóng compact thứ 4 ở phòng ông bà 4 trong nhà không|smart.home.decrease.percentage|smart.home.check.status|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O O O|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom O B-roomroom O
chào bạn kiểm soát được đèn sân 3 ở phòng ăn 3 trong nhà không|smart.home.decrease.percentage|smart.home.check.status|O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O O O|O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom O B-roomroom O
giúp tui giảm thiết bị đèn bàn thứ 3|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
giúp tui giảm thiết bị rèm ngang|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O B-devicedevice I-devicedevice|O O O O O B-devicedevice I-devicedevice
làm ơn hạ thấp đỡ bóng đứng 2 7 phần trăm giúp tôi|smart.home.decrease.percentage|smart.home.set.percentage|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
anh ơi thiết bị là đầy đủ màn cửa đơn|smart.home.decrease.percentage|smart.home.check.status|O O O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice
chào bạn kiểm soát được bóng downlight 2 ở phòng ngủ con trai 5 trong nhà không|smart.home.decrease.percentage|smart.home.check.status|O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom O O O|O O O O O B-devicedevice I-devicedevice I-devicedevice O B-roomroom I-roomroom I-roomroom I-roomroom I-roomroom O B-roomroom O
làm ơn giảm đi đỡ đèn làm việc 30 phần trăm giúp tôi|smart.home.decrease.percentage|smart.home.set.percentage|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice I-devicedevice B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
anh ơi thiết bị là đầy đủ quạt treo tường 3|smart.home.decrease.percentage|smart.home.check.status|O O O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice|O O O O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice I-devicedevice I-devicedevice
ti vi to quá giảm còn 30 phần trăm giúp tôi|smart.home.decrease.percentage|smart.home.decrease.percentage|B-devicedevice I-devicedevice O O O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O|B-devicedevice I-devicedevice I-devicedevice O O O B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O
làm ơn hạ xuống đỡ đèn bếp 3 phần trăm giúp tôi|smart.home.decrease.percentage|smart.home.set.percentage|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O|O O B-commandcommand I-commandcommand O B-devicedevice I-devicedevice B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
giúp tui giảm thiết bị downlight 1|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O B-devicedevice I-devicedevice|O O O O O B-devicedevice I-devicedevice
giúp tui giảm thiết bị cột đèn 3|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O B-devicedevice I-devicedevice I-devicedevice|O O O O O B-devicedevice I-devicedevice I-devicedevice
làm ơn giảm đỡ đèn rọi 16 phần trăm giúp tôi|smart.home.decrease.percentage|smart.home.set.percentage|O O B-commandcommand O B-devicedevice I-devicedevice B-change-valuesyspercentage I-change-valuesyspercentage I-change-valuesyspercentage O O|O O B-commandcommand I-commandcommand B-devicedevice I-devicedevice B-final-valuesyspercentage I-final-valuesyspercentage I-final-valuesyspercentage O O
chào bạn kiểm soát được quạt hút mùi thứ 1 ở garage trong nhà không|smart.home.decrease.percentage|smart.home.check.status|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O O O|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice I-devicedevice O B-roomroom O B-roomroom O
giúp tui giảm thiết bị máy lạnh thứ 3|smart.home.decrease.percentage|smart.home.decrease.level|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice|O O O O O B-devicedevice I-devicedevice I-devicedevice I-devicedevice
